date,open,high,low,close,volume
2026-06-24,101.16,102.31,98.25,99.86,8741763.263513
2026-06-25,100.275,100.719,94.78,97.19,8712845.261771
2026-06-26,94.9,100.2,94.6237,97.3,24495320.746092
2026-06-29,100.15,102.68,99.22,100.84,10408347.899782
2026-06-30,97.98,102.775,97.53,101.5,9310299.455182
2026-07-01,100.94,102.86,98.62,100.88,5115491.900672
2026-07-02,101.05,103.68,100.0,101.5,4013026.587683
2026-07-06,102.27,104.74,96.72,98.29,5212914.524974
2026-07-07,100.51,101.68,97.3,97.91,4914483.221561
2026-07-08,97.545,100.508,95.39,96.28,4047261.200833
2026-07-09,96.2,98.985,95.8,97.96,4045334.93101
2026-07-10,97.71,98.21,95.35,96.0,3407677.887819
2026-07-13,94.56,94.88,91.92,92.9,3763692.51567
2026-07-14,93.775,96.42,93.53,94.5,7040390.537114
2026-07-15,94.18,96.92,92.33,96.57,4111974.132503
2026-07-16,95.92,96.11,90.485,91.54,5377872.469576
2026-07-17,90.79,93.43,89.15,92.0,5872383.936098
2026-07-20,91.7,92.73,89.37,90.33,5477046.181161
2026-07-21,92.06,96.03,91.17,94.76,4912505.892751
2026-07-22,95.07,95.54,91.81,92.28,4618233.060581
2026-07-23,90.27,92.355,89.215,91.51,6880322.421818
2026-07-24,90.86,90.9,86.93,87.88,5888292.150118
2026-07-27,87.13,88.67,85.82,86.69,3521405.56552
2026-07-28,84.46,86.05,82.89,85.93,7233975.80573
2026-07-29,86.26,88.22,82.48,83.89,8096532.5733
2026-07-30,85.15,87.03,83.99,86.13,5675670.705675
2026-07-31,86.98,86.98,83.75,84.09,4127410.983547
2026-08-03,83.58,88.32,83.01,85.63,8086478.494783
2026-08-04,87.555,91.86,85.87,91.6,7426517.224569
2026-08-05,89.65,89.94,84.765,87.73,5246087.468234
2026-08-06,86.73,90.635,86.22,87.03,3914785.815148
2026-08-07,87.25,91.07,87.07,90.04,4773068.47301
2026-08-10,90.45,91.57,88.04,89.15,4305206.001224
2026-08-11,89.28,90.679,87.71,87.98,2473006.329519
2026-08-12,89.43,93.6,88.33,92.5,5108425.965914
2026-08-13,91.07,93.35,91.01,91.68,2582694.606667
2026-08-14,91.96,93.0,90.88,91.89,2113656.496924
2026-08-17,92.405,94.95,91.73,92.51,3199601.710681
