holdings_as_of,downloaded_at_utc,source_ticker,name,weight
2026-07-30,2026-08-02T13:10:23Z,AAPL,APPLE INC,7.654588
2026-07-30,2026-08-02T13:10:23Z,NVDA,NVIDIA CORP,7.383821
2026-07-30,2026-08-02T13:10:23Z,MSFT,MICROSOFT CORP,5.237655
2026-07-30,2026-08-02T13:10:23Z,AMZN,AMAZON.COM INC,3.603219
2026-07-30,2026-08-02T13:10:23Z,GOOGL,ALPHABET INC CL A,3.057967
2026-07-30,2026-08-02T13:10:23Z,AVGO,BROADCOM INC,2.870521
2026-07-30,2026-08-02T13:10:23Z,GOOG,ALPHABET INC CL C,2.464981
2026-07-30,2026-08-02T13:10:23Z,META,META PLATFORMS INC CLASS A,1.850121
2026-07-30,2026-08-02T13:10:23Z,MU,MICRON TECHNOLOGY INC,1.541963
2026-07-30,2026-08-02T13:10:23Z,JPM,JPMORGAN CHASE + CO,1.469706
2026-07-30,2026-08-02T13:10:23Z,BRK-B,BERKSHIRE HATHAWAY INC CL B,1.460774
2026-07-30,2026-08-02T13:10:23Z,LLY,ELI LILLY + CO,1.428311
2026-07-30,2026-08-02T13:10:23Z,TSLA,TESLA INC,1.359286
2026-07-30,2026-08-02T13:10:23Z,AMD,ADVANCED MICRO DEVICES,1.237347
2026-07-30,2026-08-02T13:10:23Z,XOM,EXXONMOBIL HOLDINGS CORP,1.016791
2026-07-30,2026-08-02T13:10:23Z,JNJ,JOHNSON + JOHNSON,0.962778
2026-07-30,2026-08-02T13:10:23Z,V,VISA INC CLASS A SHARES,0.950009
2026-07-30,2026-08-02T13:10:23Z,WMT,WALMART INC,0.761136
2026-07-30,2026-08-02T13:10:23Z,MA,MASTERCARD INC   A,0.727961
2026-07-30,2026-08-02T13:10:23Z,ABBV,ABBVIE INC,0.711085
2026-07-30,2026-08-02T13:10:23Z,CSCO,CISCO SYSTEMS INC,0.700893
2026-07-30,2026-08-02T13:10:23Z,INTC,INTEL CORP,0.673132
2026-07-30,2026-08-02T13:10:23Z,COST,COSTCO WHOLESALE CORP,0.661441
2026-07-30,2026-08-02T13:10:23Z,BAC,BANK OF AMERICA CORP,0.629711
2026-07-30,2026-08-02T13:10:23Z,AMAT,APPLIED MATERIALS INC,0.62261
2026-07-30,2026-08-02T13:10:23Z,UNH,UNITEDHEALTH GROUP INC,0.598029
2026-07-30,2026-08-02T13:10:23Z,CAT,CATERPILLAR INC,0.582724
2026-07-30,2026-08-02T13:10:23Z,LRCX,LAM RESEARCH CORP,0.582143
2026-07-30,2026-08-02T13:10:23Z,GE,GENERAL ELECTRIC,0.578789
2026-07-30,2026-08-02T13:10:23Z,CVX,CHEVRON CORP,0.562497
2026-07-30,2026-08-02T13:10:23Z,KO,COCA COLA CO/THE,0.535346
2026-07-30,2026-08-02T13:10:23Z,PG,PROCTER + GAMBLE CO/THE,0.523761
2026-07-30,2026-08-02T13:10:23Z,HD,HOME DEPOT INC,0.518753
2026-07-30,2026-08-02T13:10:23Z,MRK,MERCK + CO. INC.,0.501013
2026-07-30,2026-08-02T13:10:23Z,NFLX,NETFLIX INC,0.481379
2026-07-30,2026-08-02T13:10:23Z,GS,GOLDMAN SACHS GROUP INC,0.472375
2026-07-30,2026-08-02T13:10:23Z,PM,PHILIP MORRIS INTERNATIONAL,0.467699
2026-07-30,2026-08-02T13:10:23Z,RTX,RTX CORP,0.451226
2026-07-30,2026-08-02T13:10:23Z,PLTR,PALANTIR TECHNOLOGIES INC A,0.43857
2026-07-30,2026-08-02T13:10:23Z,PANW,PALO ALTO NETWORKS INC,0.412812
2026-07-30,2026-08-02T13:10:23Z,GEV,GE VERNOVA INC,0.412283
2026-07-30,2026-08-02T13:10:23Z,WFC,WELLS FARGO + CO,0.408602
2026-07-30,2026-08-02T13:10:23Z,TXN,TEXAS INSTRUMENTS INC,0.394593
2026-07-30,2026-08-02T13:10:23Z,MS,MORGAN STANLEY,0.391409
2026-07-30,2026-08-02T13:10:23Z,KLAC,KLA CORP,0.368341
2026-07-30,2026-08-02T13:10:23Z,LIN,LINDE PLC,0.367554
2026-07-30,2026-08-02T13:10:23Z,C,CITIGROUP INC,0.352726
2026-07-30,2026-08-02T13:10:23Z,ORCL,ORACLE CORP,0.338174
2026-07-30,2026-08-02T13:10:23Z,TMO,THERMO FISHER SCIENTIFIC INC,0.335082
2026-07-30,2026-08-02T13:10:23Z,AMGN,AMGEN INC,0.326776
2026-07-30,2026-08-02T13:10:23Z,IBM,INTL BUSINESS MACHINES CORP,0.32574
2026-07-30,2026-08-02T13:10:23Z,APH,AMPHENOL CORP CL A,0.3074
2026-07-30,2026-08-02T13:10:23Z,VZ,VERIZON COMMUNICATIONS INC,0.301017
2026-07-30,2026-08-02T13:10:23Z,PEP,PEPSICO INC,0.299588
2026-07-30,2026-08-02T13:10:23Z,STX,SEAGATE TECHNOLOGY HOLDINGS,0.298476
2026-07-30,2026-08-02T13:10:23Z,MCD,MCDONALD S CORP,0.298202
2026-07-30,2026-08-02T13:10:23Z,SNDK,SANDISK CORP,0.296164
2026-07-30,2026-08-02T13:10:23Z,CRWD,CROWDSTRIKE HOLDINGS INC   A,0.294867
2026-07-30,2026-08-02T13:10:23Z,ABT,ABBOTT LABORATORIES,0.287594
2026-07-30,2026-08-02T13:10:23Z,WDC,WESTERN DIGITAL CORP,0.287161
2026-07-30,2026-08-02T13:10:23Z,NEE,NEXTERA ENERGY INC,0.286679
2026-07-30,2026-08-02T13:10:23Z,AXP,AMERICAN EXPRESS CO,0.280829
2026-07-30,2026-08-02T13:10:23Z,ADI,ANALOG DEVICES INC,0.279876
2026-07-30,2026-08-02T13:10:23Z,ANET,ARISTA NETWORKS INC,0.276074
2026-07-30,2026-08-02T13:10:23Z,TJX,TJX COMPANIES INC,0.275344
2026-07-30,2026-08-02T13:10:23Z,BA,BOEING CO/THE,0.272257
2026-07-30,2026-08-02T13:10:23Z,UNP,UNION PACIFIC CORP,0.268687
2026-07-30,2026-08-02T13:10:23Z,SCHW,SCHWAB (CHARLES) CORP,0.266652
2026-07-30,2026-08-02T13:10:23Z,DIS,WALT DISNEY CO/THE,0.261064
2026-07-30,2026-08-02T13:10:23Z,WELL,WELLTOWER INC,0.260053
2026-07-30,2026-08-02T13:10:23Z,GILD,GILEAD SCIENCES INC,0.254833
2026-07-30,2026-08-02T13:10:23Z,T,AT+T INC,0.252139
2026-07-30,2026-08-02T13:10:23Z,MRVL,MARVELL TECHNOLOGY INC,0.250834
2026-07-30,2026-08-02T13:10:23Z,QCOM,QUALCOMM INC,0.249821
2026-07-30,2026-08-02T13:10:23Z,BLK,BLACKROCK INC,0.247961
2026-07-30,2026-08-02T13:10:23Z,DE,DEERE + CO,0.235467
2026-07-30,2026-08-02T13:10:23Z,ETN,EATON CORP PLC,0.234874
2026-07-30,2026-08-02T13:10:23Z,BKNG,BOOKING HOLDINGS INC,0.234105
2026-07-30,2026-08-02T13:10:23Z,CRM,SALESFORCE INC,0.231122
2026-07-30,2026-08-02T13:10:23Z,COP,CONOCOPHILLIPS,0.22672
2026-07-30,2026-08-02T13:10:23Z,UBER,UBER TECHNOLOGIES INC,0.223957
2026-07-30,2026-08-02T13:10:23Z,PFE,PFIZER INC,0.221908
2026-07-30,2026-08-02T13:10:23Z,PLD,PROLOGIS INC,0.212987
2026-07-30,2026-08-02T13:10:23Z,CVS,CVS HEALTH CORP,0.209895
2026-07-30,2026-08-02T13:10:23Z,BMY,BRISTOL MYERS SQUIBB CO,0.207073
2026-07-30,2026-08-02T13:10:23Z,COF,CAPITAL ONE FINANCIAL CORP,0.204459
2026-07-30,2026-08-02T13:10:23Z,CB,CHUBB LTD,0.197465
2026-07-30,2026-08-02T13:10:23Z,SPGI,S+P GLOBAL INC,0.196741
2026-07-30,2026-08-02T13:10:23Z,ISRG,INTUITIVE SURGICAL INC,0.195433
2026-07-30,2026-08-02T13:10:23Z,PGR,PROGRESSIVE CORP,0.194857
2026-07-30,2026-08-02T13:10:23Z,DHR,DANAHER CORP,0.193196
2026-07-30,2026-08-02T13:10:23Z,VRTX,VERTEX PHARMACEUTICALS INC,0.191139
2026-07-30,2026-08-02T13:10:23Z,PH,PARKER HANNIFIN CORP,0.189784
2026-07-30,2026-08-02T13:10:23Z,SBUX,STARBUCKS CORP,0.18861
2026-07-30,2026-08-02T13:10:23Z,SYK,STRYKER CORP,0.187745
2026-07-30,2026-08-02T13:10:23Z,LOW,LOWE S COS INC,0.183964
2026-07-30,2026-08-02T13:10:23Z,DELL,DELL TECHNOLOGIES  C,0.183102
2026-07-30,2026-08-02T13:10:23Z,LMT,LOCKHEED MARTIN CORP,0.181858
2026-07-30,2026-08-02T13:10:23Z,NOW,SERVICENOW INC,0.177483
