symbol,last_price,average_volume,relative_volume,average_true_range,sma_20,sma_50,sma_200
JNJ,270.0,6491511,1.1,5.12,263.04,256.85,233.09
KO,90.08,14726072,1.2,1.37,88.34,84.86,77.83
SCHW,109.39,6796318,2.1,2.14,109.09,102.71,96.94
FCX,79.0,14223161,1.3,2.82,69.73,65.31,59.74
MRSH,193.26,2103580,1.4,3.52,190.63,181.41,175.96
DASH,236.93,4537853,1.1,8.13,214.78,196.06,187.65
EOG,144.84,2807288,1.0,3.40,144.64,139.73,127.38
PYPL,61.81,10337721,1.1,1.40,59.97,53.23,51.37
KMB,110.34,3397944,1.2,2.09,109.61,109.14,103.09
HPQ,30.52,13589431,1.7,1.28,29.17,26.13,22.64
SYF,79.78,3173866,1.2,1.87,79.06,76.44,74.93
BBY,87.44,3302999,2.1,2.78,85.32,82.73,71.20
GEN,29.64,5339892,1.3,1.04,28.46,26.75,24.46
